idx,description,wnid,base_accuracy
6,stingray,n01498041,0.62
11,goldfinch,n01531178,0.84
13,junco,n01534433,0.92
15,robin,n01558993,0.9
17,jay,n01580077,0.8
22,bald_eagle,n01614925,0.94
23,vulture,n01616318,0.78
27,eft,n01631663,0.7
30,bullfrog,n01641577,0.58
37,box_turtle,n01669191,0.78
39,common_iguana,n01677366,0.66
42,agama,n01687978,0.78
47,African_chameleon,n01694178,0.72
50,American_alligator,n01698640,0.6
57,garter_snake,n01735189,0.78
70,harvestman,n01770081,0.64
71,scorpion,n01770393,0.84
76,tarantula,n01774750,0.74
79,centipede,n01784675,0.66
89,sulphur-crested_cockatoo,n01819313,0.76
90,lorikeet,n01820546,0.94
94,hummingbird,n01833805,0.9
96,toucan,n01843383,0.82
97,drake,n01847000,0.74
99,goose,n01855672,0.64
105,koala,n01882714,0.82
107,jellyfish,n01910747,0.76
108,sea_anemone,n01914609,0.6
110,flatworm,n01924916,0.62
113,snail,n01944390,0.74
124,crayfish,n01985128,0.4
125,hermit_crab,n01986214,0.76
130,flamingo,n02007558,0.9
132,American_egret,n02009912,0.82
143,oystercatcher,n02037110,0.8
144,pelican,n02051845,0.82
150,sea_lion,n02077923,0.76
151,Chihuahua,n02085620,0.52
207,golden_retriever,n02099601,0.6
234,Rottweiler,n02106550,0.7
235,German_shepherd,n02106662,0.68
254,pug,n02110958,0.8
277,red_fox,n02119022,0.54
283,Persian_cat,n02123394,0.74
287,lynx,n02127052,0.6
291,lion,n02129165,0.84
295,American_black_bear,n02133161,0.82
298,mongoose,n02137549,0.54
301,ladybug,n02165456,0.86
306,rhinoceros_beetle,n02174001,0.78
307,weevil,n02177972,0.74
308,fly,n02190166,0.8
309,bee,n02206856,0.58
310,ant,n02219486,0.66
311,grasshopper,n02226429,0.5
313,walking_stick,n02231487,0.54
314,cockroach,n02233338,0.56
315,mantis,n02236044,0.48
317,leafhopper,n02259212,0.86
319,dragonfly,n02268443,0.66
323,monarch,n02279972,0.88
324,cabbage_butterfly,n02280649,0.86
326,lycaenid,n02281787,0.84
327,starfish,n02317335,0.76
330,wood_rabbit,n02325366,0.68
334,porcupine,n02346627,0.82
335,fox_squirrel,n02356798,0.74
336,marmot,n02361337,0.78
347,bison,n02410509,0.92
361,skunk,n02445715,0.86
363,armadillo,n02454379,0.8
372,baboon,n02486410,0.84
378,capuchin,n02492035,0.7
386,African_elephant,n02504458,0.56
397,puffer,n02655020,0.7
400,academic_gown,n02669723,0.4
401,accordion,n02672831,0.72
402,acoustic_guitar,n02676566,0.4
404,airliner,n02690373,0.78
407,ambulance,n02701002,0.86
411,apron,n02730930,0.64
416,balance_beam,n02777292,0.9
417,balloon,n02782093,0.84
420,banjo,n02787622,0.78
425,barn,n02793495,0.92
428,barrow,n02797295,0.58
430,basketball,n02802426,0.74
437,beacon,n02814860,0.74
438,beaker,n02815834,0.36
445,bikini,n02837789,0.6
456,bow,n02879718,0.54
457,bow_tie,n02883205,0.6
461,breastplate,n02895154,0.3
462,broom,n02906734,0.58
470,candle,n02948072,0.56
472,canoe,n02951358,0.84
483,castle,n02980441,0.76
486,cello,n02992211,0.64
488,chain,n02999410,0.2
492,chest,n03014705,0.64
496,Christmas_stocking,n03026506,0.84
514,cowboy_boot,n03124043,0.44
516,cradle,n03125729,0.34
528,dial_telephone,n03187595,0.8
530,digital_clock,n03196217,0.54
539,doormat,n03223299,0.5
542,drumstick,n03250847,0.38
543,dumbbell,n03255030,0.48
549,envelope,n03291819,0.5
552,feather_boa,n03325584,0.74
557,flagpole,n03355925,0.6
561,forklift,n03384352,0.76
562,fountain,n03388043,0.84
569,garbage_truck,n03417042,0.92
572,goblet,n03443371,0.58
573,go-kart,n03444034,0.78
575,golfcart,n03445924,0.78
579,grand_piano,n03452741,0.6
589,hand_blower,n03483316,0.38
606,iron,n03584829,0.7
607,jack-o'-lantern,n03590841,0.96
609,jeep,n03594945,0.66
614,kimono,n03617480,0.76
626,lighter,n03666591,0.46
627,limousine,n03670208,0.7
640,manhole_cover,n03717622,0.9
641,maraca,n03720891,0.58
642,marimba,n03721384,0.84
643,mask,n03724870,0.4
658,mitten,n03775071,0.7
668,mosque,n03788195,0.9
677,nail,n03804744,0.6
682,obelisk,n03837869,0.68
684,ocarina,n03840681,0.68
687,organ,n03854065,0.74
701,parachute,n03888257,0.92
704,parking_meter,n03891332,0.8
719,piggy_bank,n03935335,0.66
736,pool_table,n03982430,0.76
746,puck,n04019541,0.92
749,quill,n04033901,0.62
752,racket,n04039381,0.58
758,reel,n04067472,0.42
763,revolver,n04086273,0.7
765,rocking_chair,n04099969,0.42
768,rugby_ball,n04118538,0.76
773,saltshaker,n04131690,0.64
774,sandal,n04133789,0.54
776,sax,n04141076,0.56
779,school_bus,n04146614,0.88
780,schooner,n04147183,0.76
786,sewing_machine,n04179913,0.72
792,shovel,n04208210,0.46
797,sleeping_bag,n04235860,0.46
802,snowmobile,n04252077,0.86
803,snowplow,n04252225,0.92
804,soap_dispenser,n04254120,0.48
813,spatula,n04270147,0.2
815,spider_web,n04275548,0.58
820,steam_locomotive,n04310018,0.84
823,stethoscope,n04317175,0.34
831,studio_couch,n04344873,0.62
833,submarine,n04347754,0.74
835,sundial,n04355338,0.46
839,suspension_bridge,n04366367,0.56
845,syringe,n04376876,0.58
847,tank,n04389033,0.8
850,teddy,n04399382,0.72
859,toaster,n04442312,0.58
862,torch,n04456115,0.66
870,tricycle,n04482393,0.76
879,umbrella,n04507155,0.44
880,unicycle,n04509417,0.7
888,viaduct,n04532670,0.76
890,volleyball,n04540053,0.92
897,washer,n04554684,0.74
900,water_tower,n04562935,0.94
907,wine_bottle,n04591713,0.38
913,wreck,n04606251,0.78
924,guacamole,n07583066,0.58
932,pretzel,n07695742,0.7
933,cheeseburger,n07697313,0.86
934,hotdog,n07697537,0.68
937,broccoli,n07714990,0.9
943,cucumber,n07718472,0.66
945,bell_pepper,n07720875,0.86
947,mushroom,n07734744,0.32
951,lemon,n07749582,0.76
954,banana,n07753592,0.74
956,custard_apple,n07760859,0.82
957,pomegranate,n07768694,0.8
959,carbonara,n07831146,0.74
971,bubble,n09229709,0.76
972,cliff,n09246464,0.66
980,volcano,n09472597,0.7
981,ballplayer,n09835506,0.62
984,rapeseed,n11879895,0.92
986,yellow_lady's_slipper,n12057211,1.0
987,corn,n12144580,0.32
988,acorn,n12267677,0.88
